Province,Time,Temperature,Temp_Max,Temp_Min,Precipitation,Windspeed_Max,UV_Index_Max,Sunshine_Hours,Sundown_Hours,Weather_Code,Humidity,Feel_Like
An Giang,2025-05-13T00:00,26.8,33.2,25.8,0.0,9.5,8.2,10.18,12,3,90,32.9
An Giang,2025-05-13T03:00,26.3,33.2,25.8,0.1,9.5,8.2,10.18,12,3,92,32.4
An Giang,2025-05-13T06:00,25.8,33.2,25.8,0.0,9.5,8.2,10.18,12,3,94,31.7
An Giang,2025-05-13T09:00,29.4,33.2,25.8,0.4,9.5,8.2,10.18,12,80,80,35.6
An Giang,2025-05-13T12:00,32.4,33.2,25.8,0.0,9.5,8.2,10.18,12,3,63,38.3
An Giang,2025-05-13T15:00,33.1,33.2,25.8,0.0,9.5,8.2,10.18,12,2,60,38.1
An Giang,2025-05-13T18:00,30.8,33.2,25.8,0.0,9.5,8.2,10.18,12,3,67,35.8
An Giang,2025-05-13T21:00,27.8,33.2,25.8,0.5,9.5,8.2,10.18,12,80,87,33.8
An Giang,2025-05-14T00:00,26.7,34.0,25.5,0.0,8.2,8.7,8.74,12,3,92,32.8
An Giang,2025-05-14T03:00,25.9,34.0,25.5,0.0,8.2,8.7,8.74,12,3,94,32.0
An Giang,2025-05-14T06:00,25.5,34.0,25.5,0.0,8.2,8.7,8.74,12,3,95,31.7
An Giang,2025-05-14T09:00,29.5,34.0,25.5,0.0,8.2,8.7,8.74,12,2,77,35.1
An Giang,2025-05-14T12:00,33.0,34.0,25.5,0.1,8.2,8.7,8.74,12,2,62,40.4
An Giang,2025-05-14T15:00,33.7,34.0,25.5,0.0,8.2,8.7,8.74,12,3,58,39.5
An Giang,2025-05-14T18:00,31.1,34.0,25.5,0.1,8.2,8.7,8.74,12,3,69,37.2
An Giang,2025-05-14T21:00,28.4,34.0,25.5,0.3,8.2,8.7,8.74,12,80,84,35.0
An Giang,2025-05-15T00:00,27.2,34.1,25.4,0.5,9.2,8.3,11.0,12,80,89,33.5
An Giang,2025-05-15T03:00,26.1,34.1,25.4,0.4,9.2,8.3,11.0,12,80,92,32.3
An Giang,2025-05-15T06:00,25.4,34.1,25.4,0.0,9.2,8.3,11.0,12,3,95,31.5
An Giang,2025-05-15T09:00,29.1,34.1,25.4,0.0,9.2,8.3,11.0,12,3,78,34.8
An Giang,2025-05-15T12:00,32.4,34.1,25.4,0.0,9.2,8.3,11.0,12,3,63,39.0
An Giang,2025-05-15T15:00,33.9,34.1,25.4,0.0,9.2,8.3,11.0,12,3,55,39.0
An Giang,2025-05-15T18:00,31.3,34.1,25.4,0.0,9.2,8.3,11.0,12,1,67,36.3
An Giang,2025-05-15T21:00,28.1,34.1,25.4,0.2,9.2,8.3,11.0,12,2,86,34.8
An Giang,2025-05-16T00:00,27.2,35.7,25.8,0.0,10.1,7.95,11.0,12,3,89,33.9
An Giang,2025-05-16T03:00,26.6,35.7,25.8,0.1,10.1,7.95,11.0,12,3,91,33.2
An Giang,2025-05-16T06:00,25.8,35.7,25.8,0.0,10.1,7.95,11.0,12,45,96,32.4
An Giang,2025-05-16T09:00,30.0,35.7,25.8,0.0,10.1,7.95,11.0,12,3,77,36.6
An Giang,2025-05-16T12:00,34.1,35.7,25.8,0.0,10.1,7.95,11.0,12,1,53,40.9
An Giang,2025-05-16T15:00,35.7,35.7,25.8,0.0,10.1,7.95,11.0,12,1,44,40.3
An Giang,2025-05-16T18:00,31.9,35.7,25.8,0.0,10.1,7.95,11.0,12,3,65,36.9
An Giang,2025-05-16T21:00,28.7,35.7,25.8,0.6,10.1,7.95,11.0,12,95,83,34.8
An Giang,2025-05-17T00:00,26.8,34.1,25.5,3.4,7.7,8.85,11.0,12,96,89,33.1
An Giang,2025-05-17T03:00,25.6,34.1,25.5,1.6,7.7,8.85,11.0,12,3,91,31.4
An Giang,2025-05-17T06:00,25.7,34.1,25.5,0.0,7.7,8.85,11.0,12,2,92,31.6
An Giang,2025-05-17T09:00,29.0,34.1,25.5,0.0,7.7,8.85,11.0,12,2,80,34.9
An Giang,2025-05-17T12:00,32.9,34.1,25.5,0.0,7.7,8.85,11.0,12,3,64,40.7
An Giang,2025-05-17T15:00,34.1,34.1,25.5,0.0,7.7,8.85,11.0,12,3,57,40.4
An Giang,2025-05-17T18:00,30.8,34.1,25.5,0.5,7.7,8.85,11.0,12,95,72,36.9
An Giang,2025-05-17T21:00,28.3,34.1,25.5,0.3,7.7,8.85,11.0,12,3,86,34.9
