Province,Time,Temperature,Temp_Max,Temp_Min,Precipitation,Windspeed_Max,UV_Index_Max,Sunshine_Hours,Sundown_Hours,Weather_Code,Humidity,Feel_Like
An Giang,2025-05-12T00:00,26.7,32.2,25.5,0.0,11.2,8.9,11.0,12,1,91,33.0
An Giang,2025-05-12T03:00,25.8,32.2,25.5,0.0,11.2,8.9,11.0,12,1,95,32.0
An Giang,2025-05-12T06:00,25.6,32.2,25.5,0.0,11.2,8.9,11.0,12,45,96,31.8
An Giang,2025-05-12T09:00,29.2,32.2,25.5,0.5,11.2,8.9,11.0,12,80,83,35.6
An Giang,2025-05-12T12:00,32.2,32.2,25.5,0.1,11.2,8.9,11.0,12,3,67,38.6
An Giang,2025-05-12T15:00,32.2,32.2,25.5,0.0,11.2,8.9,11.0,12,3,63,36.9
An Giang,2025-05-12T18:00,29.7,32.2,25.5,0.0,11.2,8.9,11.0,12,3,73,34.9
An Giang,2025-05-12T21:00,27.3,32.2,25.5,0.0,11.2,8.9,11.0,12,3,88,33.4
An Giang,2025-05-13T00:00,26.4,32.5,26.0,0.0,10.9,6.3,9.12,12,3,93,32.8
An Giang,2025-05-13T03:00,26.2,32.5,26.0,0.6,10.9,6.3,9.12,12,80,95,32.5
An Giang,2025-05-13T06:00,26.0,32.5,26.0,0.0,10.9,6.3,9.12,12,3,95,32.2
An Giang,2025-05-13T09:00,29.0,32.5,26.0,0.0,10.9,6.3,9.12,12,3,81,34.7
An Giang,2025-05-13T12:00,31.7,32.5,26.0,0.1,10.9,6.3,9.12,12,3,69,38.9
An Giang,2025-05-13T15:00,31.9,32.5,26.0,0.4,10.9,6.3,9.12,12,80,66,36.8
An Giang,2025-05-13T18:00,30.1,32.5,26.0,0.0,10.9,6.3,9.12,12,3,73,35.6
An Giang,2025-05-13T21:00,27.4,32.5,26.0,0.0,10.9,6.3,9.12,12,3,89,33.5
An Giang,2025-05-14T00:00,26.4,34.1,25.3,0.0,8.3,8.1,11.0,12,3,92,32.4
An Giang,2025-05-14T03:00,25.7,34.1,25.3,0.0,8.3,8.1,11.0,12,3,93,31.5
An Giang,2025-05-14T06:00,25.3,34.1,25.3,0.0,8.3,8.1,11.0,12,3,93,31.0
An Giang,2025-05-14T09:00,29.5,34.1,25.3,0.0,8.3,8.1,11.0,12,3,78,35.1
An Giang,2025-05-14T12:00,32.7,34.1,25.3,0.0,8.3,8.1,11.0,12,3,62,39.7
An Giang,2025-05-14T15:00,33.7,34.1,25.3,0.0,8.3,8.1,11.0,12,3,58,39.0
An Giang,2025-05-14T18:00,30.9,34.1,25.3,0.1,8.3,8.1,11.0,12,2,72,36.8
An Giang,2025-05-14T21:00,28.3,34.1,25.3,0.0,8.3,8.1,11.0,12,2,87,35.2
Bà Rịa - Vũng Tàu,2025-05-12T00:00,28.0,30.2,26.9,0.0,14.3,8.55,10.81,12,2,87,34.2
Bà Rịa - Vũng Tàu,2025-05-12T03:00,27.4,30.2,26.9,0.7,14.3,8.55,10.81,12,80,87,33.8
Bà Rịa - Vũng Tàu,2025-05-12T06:00,26.9,30.2,26.9,0.3,14.3,8.55,10.81,12,80,89,33.3
Bà Rịa - Vũng Tàu,2025-05-12T09:00,28.7,30.2,26.9,0.1,14.3,8.55,10.81,12,2,85,35.7
Bà Rịa - Vũng Tàu,2025-05-12T12:00,30.1,30.2,26.9,0.7,14.3,8.55,10.81,12,80,78,37.4
Bà Rịa - Vũng Tàu,2025-05-12T15:00,30.0,30.2,26.9,0.0,14.3,8.55,10.81,12,2,77,35.6
Bà Rịa - Vũng Tàu,2025-05-12T18:00,28.7,30.2,26.9,0.0,14.3,8.55,10.81,12,3,82,33.9
Bà Rịa - Vũng Tàu,2025-05-12T21:00,28.2,30.2,26.9,0.3,14.3,8.55,10.81,12,80,85,34.3
Bà Rịa - Vũng Tàu,2025-05-13T00:00,27.9,31.3,27.3,0.8,15.0,8.05,10.04,12,95,86,34.3
Bà Rịa - Vũng Tàu,2025-05-13T03:00,27.4,31.3,27.3,0.9,15.0,8.05,10.04,12,95,88,33.7
Bà Rịa - Vũng Tàu,2025-05-13T06:00,27.3,31.3,27.3,0.8,15.0,8.05,10.04,12,95,87,33.2
Bà Rịa - Vũng Tàu,2025-05-13T09:00,29.1,31.3,27.3,0.0,15.0,8.05,10.04,12,3,80,34.6
Bà Rịa - Vũng Tàu,2025-05-13T12:00,31.2,31.3,27.3,0.0,15.0,8.05,10.04,12,3,72,38.6
Bà Rịa - Vũng Tàu,2025-05-13T15:00,30.8,31.3,27.3,0.0,15.0,8.05,10.04,12,2,72,36.1
Bà Rịa - Vũng Tàu,2025-05-13T18:00,29.3,31.3,27.3,0.0,15.0,8.05,10.04,12,2,77,34.2
Bà Rịa - Vũng Tàu,2025-05-13T21:00,28.6,31.3,27.3,0.0,15.0,8.05,10.04,12,3,82,34.4
Bà Rịa - Vũng Tàu,2025-05-14T00:00,28.1,31.6,27.2,0.1,12.3,8.85,11.0,12,3,84,34.3
Bà Rịa - Vũng Tàu,2025-05-14T03:00,27.5,31.6,27.2,0.6,12.3,8.85,11.0,12,80,87,33.9
Bà Rịa - Vũng Tàu,2025-05-14T06:00,27.3,31.6,27.2,0.0,12.3,8.85,11.0,12,3,89,33.6
Bà Rịa - Vũng Tàu,2025-05-14T09:00,29.3,31.6,27.2,0.1,12.3,8.85,11.0,12,3,80,34.7
Bà Rịa - Vũng Tàu,2025-05-14T12:00,30.9,31.6,27.2,0.4,12.3,8.85,11.0,12,80,74,37.9
Bà Rịa - Vũng Tàu,2025-05-14T15:00,31.2,31.6,27.2,0.0,12.3,8.85,11.0,12,2,71,37.1
Bà Rịa - Vũng Tàu,2025-05-14T18:00,29.3,31.6,27.2,0.0,12.3,8.85,11.0,12,3,81,34.9
Bà Rịa - Vũng Tàu,2025-05-14T21:00,28.9,31.6,27.2,0.0,12.3,8.85,11.0,12,3,82,34.7
Bạc Liêu,2025-05-12T00:00,27.4,31.6,26.2,0.0,16.6,8.95,11.0,12,2,91,33.9
Bạc Liêu,2025-05-12T03:00,26.5,31.6,26.2,0.0,16.6,8.95,11.0,12,1,93,32.9
Bạc Liêu,2025-05-12T06:00,26.2,31.6,26.2,0.0,16.6,8.95,11.0,12,1,94,32.5
Bạc Liêu,2025-05-12T09:00,29.7,31.6,26.2,0.1,16.6,8.95,11.0,12,2,75,35.0
Bạc Liêu,2025-05-12T12:00,31.1,31.6,26.2,0.4,16.6,8.95,11.0,12,80,70,36.8
Bạc Liêu,2025-05-12T15:00,31.3,31.6,26.2,0.2,16.6,8.95,11.0,12,80,69,36.2
Bạc Liêu,2025-05-12T18:00,29.4,31.6,26.2,0.0,16.6,8.95,11.0,12,3,75,33.7
