Province,Time,Temperature,Temp_Max,Temp_Min,Precipitation,Windspeed_Max,UV_Index_Max,Sunshine_Hours,Sundown_Hours,Weather_Code,Humidity,Feel_Like
An Giang,2025-05-11T00:00,26.7,33.1,25.3,0.0,11.5,8.6,10.65,12,2,92,33.4
An Giang,2025-05-11T03:00,25.6,33.1,25.3,0.0,11.5,8.6,10.65,12,3,95,31.8
An Giang,2025-05-11T06:00,25.3,33.1,25.3,0.0,11.5,8.6,10.65,12,45,97,31.5
An Giang,2025-05-11T09:00,29.0,33.1,25.3,0.0,11.5,8.6,10.65,12,2,79,35.3
An Giang,2025-05-11T12:00,32.5,33.1,25.3,0.0,11.5,8.6,10.65,12,2,64,40.7
An Giang,2025-05-11T15:00,31.1,33.1,25.3,1.6,11.5,8.6,10.65,12,95,71,36.3
An Giang,2025-05-11T18:00,29.3,33.1,25.3,0.0,11.5,8.6,10.65,12,3,78,34.8
An Giang,2025-05-11T21:00,27.4,33.1,25.3,0.0,11.5,8.6,10.65,12,3,88,33.6
An Giang,2025-05-12T00:00,26.6,31.4,26.1,0.0,10.7,8.85,6.96,12,3,91,32.8
An Giang,2025-05-12T03:00,26.4,31.4,26.1,0.0,10.7,8.85,6.96,12,3,93,32.8
An Giang,2025-05-12T06:00,26.1,31.4,26.1,0.0,10.7,8.85,6.96,12,3,95,32.6
An Giang,2025-05-12T09:00,28.3,31.4,26.1,1.0,10.7,8.85,6.96,12,95,85,34.4
An Giang,2025-05-12T12:00,31.4,31.4,26.1,0.1,10.7,8.85,6.96,12,3,71,38.0
An Giang,2025-05-12T15:00,31.2,31.4,26.1,0.0,10.7,8.85,6.96,12,3,68,36.1
An Giang,2025-05-12T18:00,28.9,31.4,26.1,0.0,10.7,8.85,6.96,12,3,79,34.3
An Giang,2025-05-12T21:00,27.4,31.4,26.1,0.0,10.7,8.85,6.96,12,3,89,33.6
An Giang,2025-05-13T00:00,26.6,32.3,26.0,0.0,13.8,5.2,8.43,12,3,93,33.1
An Giang,2025-05-13T03:00,26.2,32.3,26.0,0.0,13.8,5.2,8.43,12,3,94,32.5
An Giang,2025-05-13T06:00,26.0,32.3,26.0,0.0,13.8,5.2,8.43,12,3,96,32.3
An Giang,2025-05-13T09:00,29.2,32.3,26.0,0.1,13.8,5.2,8.43,12,3,81,35.0
An Giang,2025-05-13T12:00,32.2,32.3,26.0,0.1,13.8,5.2,8.43,12,3,68,38.7
An Giang,2025-05-13T15:00,30.9,32.3,26.0,0.8,13.8,5.2,8.43,12,95,72,36.0
An Giang,2025-05-13T18:00,28.6,32.3,26.0,0.0,13.8,5.2,8.43,12,3,81,33.8
An Giang,2025-05-13T21:00,27.1,32.3,26.0,0.0,13.8,5.2,8.43,12,3,91,33.4
Bà Rịa - Vũng Tàu,2025-05-11T00:00,27.5,31.2,26.8,0.0,15.6,8.35,10.0,12,3,87,33.9
Bà Rịa - Vũng Tàu,2025-05-11T03:00,27.0,31.2,26.8,0.7,15.6,8.35,10.0,12,80,88,33.3
Bà Rịa - Vũng Tàu,2025-05-11T06:00,26.8,31.2,26.8,0.0,15.6,8.35,10.0,12,3,90,33.3
Bà Rịa - Vũng Tàu,2025-05-11T09:00,29.1,31.2,26.8,0.0,15.6,8.35,10.0,12,3,78,34.9
Bà Rịa - Vũng Tàu,2025-05-11T12:00,30.6,31.2,26.8,0.0,15.6,8.35,10.0,12,3,72,36.6
Bà Rịa - Vũng Tàu,2025-05-11T15:00,30.5,31.2,26.8,0.0,15.6,8.35,10.0,12,3,73,35.3
Bà Rịa - Vũng Tàu,2025-05-11T18:00,29.2,31.2,26.8,0.0,15.6,8.35,10.0,12,2,79,34.0
Bà Rịa - Vũng Tàu,2025-05-11T21:00,28.2,31.2,26.8,0.0,15.6,8.35,10.0,12,3,85,33.7
Bà Rịa - Vũng Tàu,2025-05-12T00:00,27.7,30.3,27.1,1.0,13.4,8.2,7.0,12,95,88,33.9
Bà Rịa - Vũng Tàu,2025-05-12T03:00,27.3,30.3,27.1,1.9,13.4,8.2,7.0,12,95,89,33.5
Bà Rịa - Vũng Tàu,2025-05-12T06:00,27.1,30.3,27.1,1.5,13.4,8.2,7.0,12,95,89,33.5
Bà Rịa - Vũng Tàu,2025-05-12T09:00,28.3,30.3,27.1,0.3,13.4,8.2,7.0,12,80,87,35.2
