Province,Time,Temperature,Temp_Max,Temp_Min,Precipitation,Windspeed_Max,UV_Index_Max,Sunshine_Hours,Sundown_Hours,Weather_Code,Humidity,Feel_Like
An Giang,2025-04-01T00:00,26.6,31.7,25.2,0.3,6.2,7.8,6.74,12,80,90,32.8
An Giang,2025-04-01T03:00,26.0,31.7,25.2,0.8,6.2,7.8,6.74,12,95,93,32.2
An Giang,2025-04-01T06:00,25.2,31.7,25.2,1.4,6.2,7.8,6.74,12,95,95,31.0
An Giang,2025-04-01T09:00,27.4,31.7,25.2,0.0,6.2,7.8,6.74,12,3,83,33.1
An Giang,2025-04-01T12:00,30.3,31.7,25.2,0.2,6.2,7.8,6.74,12,3,72,37.4
An Giang,2025-04-01T15:00,31.1,31.7,25.2,0.5,6.2,7.8,6.74,12,80,69,37.3
An Giang,2025-04-01T18:00,29.0,31.7,25.2,4.0,6.2,7.8,6.74,12,96,83,35.9
An Giang,2025-04-01T21:00,26.8,31.7,25.2,0.1,6.2,7.8,6.74,12,3,92,32.9
An Giang,2025-04-02T00:00,25.9,31.5,24.9,0.0,12.6,7.85,9.87,12,3,93,31.9
An Giang,2025-04-02T03:00,25.2,31.5,24.9,0.0,12.6,7.85,9.87,12,2,94,31.0
An Giang,2025-04-02T06:00,24.9,31.5,24.9,0.0,12.6,7.85,9.87,12,2,95,30.7
An Giang,2025-04-02T09:00,27.2,31.5,24.9,1.1,12.6,7.85,9.87,12,95,86,32.6
An Giang,2025-04-02T12:00,30.2,31.5,24.9,0.2,12.6,7.85,9.87,12,3,73,36.0
An Giang,2025-04-02T15:00,31.3,31.5,24.9,0.0,12.6,7.85,9.87,12,3,63,35.3
An Giang,2025-04-02T18:00,28.7,31.5,24.9,1.8,12.6,7.85,9.87,12,95,78,34.1
An Giang,2025-04-02T21:00,27.4,31.5,24.9,0.0,12.6,7.85,9.87,12,2,83,33.1
An Giang,2025-04-03T00:00,25.7,33.2,24.7,0.0,13.2,6.45,10.33,12,2,85,30.4
An Giang,2025-04-03T03:00,25.0,33.2,24.7,0.0,13.2,6.45,10.33,12,2,88,30.0
An Giang,2025-04-03T06:00,24.7,33.2,24.7,0.0,13.2,6.45,10.33,12,3,90,29.8
An Giang,2025-04-03T09:00,28.2,33.2,24.7,0.0,13.2,6.45,10.33,12,2,74,31.8
An Giang,2025-04-03T12:00,32.3,33.2,24.7,0.0,13.2,6.45,10.33,12,2,56,37.3
An Giang,2025-04-03T15:00,33.2,33.2,24.7,0.0,13.2,6.45,10.33,12,2,50,36.6
An Giang,2025-04-03T18:00,31.2,33.2,24.7,0.0,13.2,6.45,10.33,12,3,58,35.2
An Giang,2025-04-03T21:00,28.0,33.2,24.7,0.0,13.2,6.45,10.33,12,2,70,31.3
An Giang,2025-04-04T00:00,25.5,34.1,24.4,0.0,11.0,8.25,10.37,12,3,81,29.6
An Giang,2025-04-04T03:00,24.5,34.1,24.4,0.0,11.0,8.25,10.37,12,3,87,28.8
An Giang,2025-04-04T06:00,24.4,34.1,24.4,0.0,11.0,8.25,10.37,12,2,88,28.8
An Giang,2025-04-04T09:00,28.2,34.1,24.4,0.0,11.0,8.25,10.37,12,2,73,32.4
An Giang,2025-04-04T12:00,33.1,34.1,24.4,0.0,11.0,8.25,10.37,12,2,53,38.8
An Giang,2025-04-04T15:00,34.1,34.1,24.4,0.0,11.0,8.25,10.37,12,2,45,37.4
An Giang,2025-04-04T18:00,32.1,34.1,24.4,0.0,11.0,8.25,10.37,12,3,52,35.1
An Giang,2025-04-04T21:00,27.7,34.1,24.4,0.0,11.0,8.25,10.37,12,1,70,31.1
An Giang,2025-04-05T00:00,25.5,34.0,24.0,0.0,10.6,9.3,10.75,12,0,82,29.8
An Giang,2025-04-05T03:00,24.6,34.0,24.0,0.0,10.6,9.3,10.75,12,1,87,29.4
An Giang,2025-04-05T06:00,24.0,34.0,24.0,0.0,10.6,9.3,10.75,12,1,90,28.8
An Giang,2025-04-05T09:00,27.9,34.0,24.0,0.0,10.6,9.3,10.75,12,2,74,31.7
An Giang,2025-04-05T12:00,32.5,34.0,24.0,0.0,10.6,9.3,10.75,12,2,54,37.6
An Giang,2025-04-05T15:00,34.0,34.0,24.0,0.0,10.6,9.3,10.75,12,2,49,39.1
An Giang,2025-04-05T18:00,32.2,34.0,24.0,0.0,10.6,9.3,10.75,12,1,55,36.4
An Giang,2025-04-05T21:00,28.0,34.0,24.0,0.0,10.6,9.3,10.75,12,3,77,32.8
An Giang,2025-04-06T00:00,26.5,33.9,24.1,0.0,12.1,9.3,10.33,12,2,89,32.0
An Giang,2025-04-06T03:00,25.2,33.9,24.1,0.0,12.1,9.3,10.33,12,1,90,30.2
An Giang,2025-04-06T06:00,24.1,33.9,24.1,0.0,12.1,9.3,10.33,12,2,96,29.1
An Giang,2025-04-06T09:00,27.7,33.9,24.1,0.0,12.1,9.3,10.33,12,2,76,32.0
An Giang,2025-04-06T12:00,32.4,33.9,24.1,0.0,12.1,9.3,10.33,12,2,53,37.4
An Giang,2025-04-06T15:00,33.9,33.9,24.1,0.0,12.1,9.3,10.33,12,2,45,37.0
An Giang,2025-04-06T18:00,31.3,33.9,24.1,0.0,12.1,9.3,10.33,12,1,56,34.6
An Giang,2025-04-06T21:00,27.1,33.9,24.1,0.0,12.1,9.3,10.33,12,0,73,31.0
An Giang,2025-04-07T00:00,25.0,34.5,24.8,0.0,13.2,9.35,10.26,12,3,84,29.1
An Giang,2025-04-07T03:00,24.8,34.5,24.8,0.0,13.2,9.35,10.26,12,2,87,29.3
An Giang,2025-04-07T06:00,24.8,34.5,24.8,0.0,13.2,9.35,10.26,12,3,91,29.9
An Giang,2025-04-07T09:00,28.1,34.5,24.8,0.0,13.2,9.35,10.26,12,3,77,32.2
An Giang,2025-04-07T12:00,32.7,34.5,24.8,0.0,13.2,9.35,10.26,12,3,55,37.3
An Giang,2025-04-07T15:00,34.5,34.5,24.8,0.0,13.2,9.35,10.26,12,3,45,37.9
An Giang,2025-04-07T18:00,31.8,34.5,24.8,0.0,13.2,9.35,10.26,12,3,54,35.1
An Giang,2025-04-07T21:00,27.9,34.5,24.8,0.0,13.2,9.35,10.26,12,1,68,31.1
An Giang,2025-04-08T00:00,25.7,32.3,25.0,0.0,12.3,8.35,9.91,12,3,82,29.8
An Giang,2025-04-08T03:00,25.2,32.3,25.0,0.0,12.3,8.35,9.91,12,3,86,29.6
An Giang,2025-04-08T06:00,25.1,32.3,25.0,0.0,12.3,8.35,9.91,12,3,89,30.1
