Province,Time,Temperature,Temp_Max,Temp_Min,Precipitation,Windspeed_Max,UV_Index_Max,Sunshine_Hours,Sundown_Hours,Weather_Code,Humidity,Feel_Like
Bạc Liêu,2025-05-13T00:00,27.3,32.6,26.6,0.0,13.1,8.55,10.38,12,3,88,33.2
Bạc Liêu,2025-05-13T03:00,26.8,32.6,26.6,0.0,13.1,8.55,10.38,12,3,90,32.8
Bạc Liêu,2025-05-13T06:00,26.6,32.6,26.6,0.0,13.1,8.55,10.38,12,3,92,33.3
Bạc Liêu,2025-05-13T09:00,30.6,32.6,26.6,0.0,13.1,8.55,10.38,12,2,72,36.8
Bạc Liêu,2025-05-13T12:00,32.5,32.6,26.6,0.0,13.1,8.55,10.38,12,3,62,38.3
Bạc Liêu,2025-05-13T15:00,31.7,32.6,26.6,0.1,13.1,8.55,10.38,12,2,66,36.5
Bạc Liêu,2025-05-13T18:00,29.7,32.6,26.6,0.0,13.1,8.55,10.38,12,3,73,34.4
Bạc Liêu,2025-05-13T21:00,28.2,32.6,26.6,0.1,13.1,8.55,10.38,12,3,83,34.5
Bạc Liêu,2025-05-14T00:00,27.4,32.6,26.5,1.2,14.3,7.5,10.96,12,95,89,34.2
Bạc Liêu,2025-05-14T03:00,27.0,32.6,26.5,0.0,14.3,7.5,10.96,12,3,92,33.6
Bạc Liêu,2025-05-14T06:00,26.5,32.6,26.5,0.0,14.3,7.5,10.96,12,3,94,33.0
Bạc Liêu,2025-05-14T09:00,30.4,32.6,26.5,0.0,14.3,7.5,10.96,12,3,73,35.8
Bạc Liêu,2025-05-14T12:00,32.3,32.6,26.5,0.0,14.3,7.5,10.96,12,3,64,37.4
Bạc Liêu,2025-05-14T15:00,32.4,32.6,26.5,0.0,14.3,7.5,10.96,12,2,64,37.2
Bạc Liêu,2025-05-14T18:00,29.9,32.6,26.5,0.0,14.3,7.5,10.96,12,3,76,35.0
Bạc Liêu,2025-05-14T21:00,28.6,32.6,26.5,0.0,14.3,7.5,10.96,12,3,84,34.7
Bạc Liêu,2025-05-15T00:00,28.0,32.9,26.7,0.0,14.8,8.05,11.0,12,2,88,34.6
Bạc Liêu,2025-05-15T03:00,27.4,32.9,26.7,0.0,14.8,8.05,11.0,12,2,90,34.4
Bạc Liêu,2025-05-15T06:00,26.7,32.9,26.7,0.0,14.8,8.05,11.0,12,2,95,33.3
Bạc Liêu,2025-05-15T09:00,30.8,32.9,26.7,0.0,14.8,8.05,11.0,12,2,71,36.2
Bạc Liêu,2025-05-15T12:00,32.8,32.9,26.7,0.0,14.8,8.05,11.0,12,3,64,39.0
Bạc Liêu,2025-05-15T15:00,32.4,32.9,26.7,0.1,14.8,8.05,11.0,12,2,66,37.8
Bạc Liêu,2025-05-15T18:00,30.0,32.9,26.7,0.0,14.8,8.05,11.0,12,2,76,35.1
Bạc Liêu,2025-05-15T21:00,28.7,32.9,26.7,0.0,14.8,8.05,11.0,12,1,85,34.9
Bắc Kạn,2025-05-13T00:00,22.4,30.6,18.9,0.0,11.3,8.85,11.11,12,1,74,24.8
Bắc Kạn,2025-05-13T03:00,21.0,30.6,18.9,0.0,11.3,8.85,11.11,12,1,81,23.2
Bắc Kạn,2025-05-13T06:00,18.9,30.6,18.9,0.0,11.3,8.85,11.11,12,1,92,21.2
Bắc Kạn,2025-05-13T09:00,26.2,30.6,18.9,0.0,11.3,8.85,11.11,12,2,63,28.9
