Province,Time,Temp_Max,Temp_Min,Precipitation,Windspeed_Max,UV_Index_Max,Sunshine_Hours,Sundown_Hours,Weather_Code
An Giang,2025-04-01T00:00,31.7,25.2,0.3,6.2,7.8,6.74,12,80
An Giang,2025-04-01T01:00,31.7,25.2,0.4,6.2,7.8,6.74,12,80
An Giang,2025-04-01T02:00,31.7,25.2,0.5,6.2,7.8,6.74,12,80
An Giang,2025-04-01T03:00,31.7,25.2,0.8,6.2,7.8,6.74,12,95
An Giang,2025-04-01T04:00,31.7,25.2,0.6,6.2,7.8,6.74,12,80
An Giang,2025-04-01T05:00,31.7,25.2,2.3,6.2,7.8,6.74,12,95
An Giang,2025-04-01T06:00,31.7,25.2,1.4,6.2,7.8,6.74,12,95
An Giang,2025-04-01T07:00,31.7,25.2,0.1,6.2,7.8,6.74,12,3
An Giang,2025-04-01T08:00,31.7,25.2,0.0,6.2,7.8,6.74,12,3
An Giang,2025-04-01T09:00,31.7,25.2,0.0,6.2,7.8,6.74,12,3
An Giang,2025-04-01T10:00,31.7,25.2,0.3,6.2,7.8,6.74,12,80
An Giang,2025-04-01T11:00,31.7,25.2,0.2,6.2,7.8,6.74,12,3
An Giang,2025-04-01T12:00,31.7,25.2,0.2,6.2,7.8,6.74,12,3
An Giang,2025-04-01T13:00,31.7,25.2,0.3,6.2,7.8,6.74,12,80
An Giang,2025-04-01T14:00,31.7,25.2,0.1,6.2,7.8,6.74,12,3
An Giang,2025-04-01T15:00,31.7,25.2,0.5,6.2,7.8,6.74,12,80
An Giang,2025-04-01T16:00,31.7,25.2,3.1,6.2,7.8,6.74,12,96
An Giang,2025-04-01T17:00,31.7,25.2,2.3,6.2,7.8,6.74,12,80
An Giang,2025-04-01T18:00,31.7,25.2,4.0,6.2,7.8,6.74,12,96
An Giang,2025-04-01T19:00,31.7,25.2,3.7,6.2,7.8,6.74,12,81
An Giang,2025-04-01T20:00,31.7,25.2,0.0,6.2,7.8,6.74,12,3
An Giang,2025-04-01T21:00,31.7,25.2,0.1,6.2,7.8,6.74,12,3
An Giang,2025-04-01T22:00,31.7,25.2,0.0,6.2,7.8,6.74,12,3
An Giang,2025-04-01T23:00,31.7,25.2,0.0,6.2,7.8,6.74,12,3
An Giang,2025-04-02T00:00,31.5,24.9,0.0,12.6,7.85,9.87,12,3
An Giang,2025-04-02T01:00,31.5,24.9,0.3,12.6,7.85,9.87,12,80
An Giang,2025-04-02T02:00,31.5,24.9,0.0,12.6,7.85,9.87,12,2
An Giang,2025-04-02T03:00,31.5,24.9,0.0,12.6,7.85,9.87,12,2
An Giang,2025-04-02T04:00,31.5,24.9,0.0,12.6,7.85,9.87,12,2
An Giang,2025-04-02T05:00,31.5,24.9,0.0,12.6,7.85,9.87,12,2
An Giang,2025-04-02T06:00,31.5,24.9,0.0,12.6,7.85,9.87,12,2
An Giang,2025-04-02T07:00,31.5,24.9,0.0,12.6,7.85,9.87,12,3
An Giang,2025-04-02T08:00,31.5,24.9,0.0,12.6,7.85,9.87,12,3
An Giang,2025-04-02T09:00,31.5,24.9,1.1,12.6,7.85,9.87,12,95
An Giang,2025-04-02T10:00,31.5,24.9,0.3,12.6,7.85,9.87,12,80
An Giang,2025-04-02T11:00,31.5,24.9,0.2,12.6,7.85,9.87,12,80
An Giang,2025-04-02T12:00,31.5,24.9,0.2,12.6,7.85,9.87,12,3
An Giang,2025-04-02T13:00,31.5,24.9,0.1,12.6,7.85,9.87,12,3
An Giang,2025-04-02T14:00,31.5,24.9,0.1,12.6,7.85,9.87,12,2
An Giang,2025-04-02T15:00,31.5,24.9,0.0,12.6,7.85,9.87,12,3
An Giang,2025-04-02T16:00,31.5,24.9,0.1,12.6,7.85,9.87,12,3
An Giang,2025-04-02T17:00,31.5,24.9,0.9,12.6,7.85,9.87,12,95
An Giang,2025-04-02T18:00,31.5,24.9,1.8,12.6,7.85,9.87,12,95
An Giang,2025-04-02T19:00,31.5,24.9,1.4,12.6,7.85,9.87,12,95
An Giang,2025-04-02T20:00,31.5,24.9,0.0,12.6,7.85,9.87,12,3
An Giang,2025-04-02T21:00,31.5,24.9,0.0,12.6,7.85,9.87,12,2
An Giang,2025-04-02T22:00,31.5,24.9,0.0,12.6,7.85,9.87,12,3
An Giang,2025-04-02T23:00,31.5,24.9,0.0,12.6,7.85,9.87,12,2
An Giang,2025-04-03T00:00,33.2,24.7,0.0,13.2,6.45,10.33,12,2
An Giang,2025-04-03T01:00,33.2,24.7,0.0,13.2,6.45,10.33,12,3
An Giang,2025-04-03T02:00,33.2,24.7,0.0,13.2,6.45,10.33,12,2
An Giang,2025-04-03T03:00,33.2,24.7,0.0,13.2,6.45,10.33,12,2
An Giang,2025-04-03T04:00,33.2,24.7,0.0,13.2,6.45,10.33,12,1
An Giang,2025-04-03T05:00,33.2,24.7,0.0,13.2,6.45,10.33,12,2
An Giang,2025-04-03T06:00,33.2,24.7,0.0,13.2,6.45,10.33,12,3
An Giang,2025-04-03T07:00,33.2,24.7,0.0,13.2,6.45,10.33,12,3
An Giang,2025-04-03T08:00,33.2,24.7,0.0,13.2,6.45,10.33,12,3
An Giang,2025-04-03T09:00,33.2,24.7,0.0,13.2,6.45,10.33,12,2
An Giang,2025-04-03T10:00,33.2,24.7,0.0,13.2,6.45,10.33,12,2
An Giang,2025-04-03T11:00,33.2,24.7,0.0,13.2,6.45,10.33,12,2
An Giang,2025-04-03T12:00,33.2,24.7,0.0,13.2,6.45,10.33,12,2
An Giang,2025-04-03T13:00,33.2,24.7,0.0,13.2,6.45,10.33,12,2
An Giang,2025-04-03T14:00,33.2,24.7,0.0,13.2,6.45,10.33,12,1
An Giang,2025-04-03T15:00,33.2,24.7,0.0,13.2,6.45,10.33,12,2
An Giang,2025-04-03T16:00,33.2,24.7,0.0,13.2,6.45,10.33,12,2
An Giang,2025-04-03T17:00,33.2,24.7,0.0,13.2,6.45,10.33,12,3
An Giang,2025-04-03T18:00,33.2,24.7,0.0,13.2,6.45,10.33,12,3
An Giang,2025-04-03T19:00,33.2,24.7,0.0,13.2,6.45,10.33,12,3
An Giang,2025-04-03T20:00,33.2,24.7,0.0,13.2,6.45,10.33,12,1
An Giang,2025-04-03T21:00,33.2,24.7,0.0,13.2,6.45,10.33,12,2
